TilausID,Tilauspäivä,AsiakasID,TuoteID,Tuote,Tuoteryhmä,Määrä,Yksikköhinta,Alennus_prosentti,Myynti,Kustannus,Kate,Kaupunki,Myyntikanava,Maksutapa
T00035,2026-06-05,A0035,P002,Bluetooth-kaiutin,Elektroniikka,2,69.90,0,139.80,70.00,69.80,Tampere,Sähköposti,Kortti
T00036,2025-09-10,A0215,P010,Kahvimylly,Koti,1,59.90,5,56.90,29.00,27.90,Seinäjoki,Sosiaalinen media,Verkkopankki
T00037,2025-07-29,A0203,P011,Joogamatto,Hyvinvointi,2,39.90,0,79.80,32.00,47.80,Vantaa,Sosiaalinen media,PayPal
T00038,2025-11-20,A0235,P015,Laptop-suojatasku,Asusteet,2,34.90,0,69.80,28.00,41.80,Seinäjoki,Verkkokauppa,Kortti
T00039,2026-07-05,A0179,P004,USB-C-laturi,Elektroniikka,1,29.90,0,29.90,11.50,18.40,Espoo,Google,Verkkopankki
T00040,2025-10-19,A0155,P003,Älykello,Elektroniikka,1,129.90,0,129.90,72.00,57.90,Seinäjoki,Verkkokauppa,Verkkopankki
T00041,2025-04-17,A0055,P015,Laptop-suojatasku,Asusteet,1,34.90,0,34.90,14.00,20.90,Vaasa,Google,Verkkopankki
T00042,2025-10-16,A0352,P010,Kahvimylly,Koti,1,59.90,0,59.90,29.00,30.90,Turku,Sähköposti,Verkkopankki
T00043,2025-02-22,A0023,P002,Bluetooth-kaiutin,Elektroniikka,1,69.90,10,62.91,35.00,27.91,Helsinki,Sosiaalinen media,MobilePay
T00044,2025-09-26,A0219,P003,Älykello,Elektroniikka,2,129.90,0,259.80,144.00,115.80,Vaasa,Verkkokauppa,Kortti
T00045,2025-03-19,A0019,P015,Laptop-suojatasku,Asusteet,2,34.90,0,69.80,28.00,41.80,Oulu,Google,PayPal
T00046,2025-05-11,A0408,P001,Langattomat kuulokkeet,Elektroniikka,1,89.90,15,76.42,47.00,29.42,Helsinki,Sosiaalinen media,MobilePay
T00047,2025-09-13,A0448,P011,Joogamatto,Hyvinvointi,1,39.90,10,35.91,16.00,19.91,Jyväskylä,Google,MobilePay
T00048,2025-06-16,A0013,P013,Vastuskuminauhasetti,Hyvinvointi,2,24.90,10,44.82,17.00,27.82,Vantaa,Sosiaalinen media,PayPal
T00049,2025-09-12,A0196,P005,Kannettavan teline,Työpiste,1,54.90,5,52.15,25.00,27.15,Helsinki,Sähköposti,MobilePay
T00050,2025-07-24,A0421,P014,Reppu 20L,Asusteet,3,64.90,0,194.70,93.00,101.70,Tampere,Google,Kortti
T00051,2025-07-17,A0396,P007,Mekaaninen näppäimistö,Työpiste,1,99.90,10,89.91,52.00,37.91,Turku,Sosiaalinen media,PayPal
T00052,2026-07-04,A0134,P006,Langaton hiiri,Työpiste,3,39.90,0,119.70,51.00,68.70,Vantaa,Sosiaalinen media,Kortti
T00053,2025-04-22,A0161,P010,Kahvimylly,Koti,1,59.90,5,56.90,29.00,27.90,Jyväskylä,Verkkokauppa,PayPal
T00054,2025-07-14,A0267,P005,Kannettavan teline,Työpiste,1,54.90,0,54.90,25.00,29.90,Vaasa,Google,Verkkopankki
T00055,2026-03-18,A0320,P002,Bluetooth-kaiutin,Elektroniikka,3,69.90,15,178.25,105.00,73.25,Oulu,Verkkokauppa,Verkkopankki
T00056,2026-06-04,A0357,P005,Kannettavan teline,Työpiste,1,54.90,0,54.90,25.00,29.90,Turku,Google,MobilePay
T00057,2026-03-07,A0090,P011,Joogamatto,Hyvinvointi,3,39.90,5,113.71,48.00,65.71,Seinäjoki,Sosiaalinen media,PayPal
T00058,2026-07-16,A0221,P014,Reppu 20L,Asusteet,1,64.90,0,64.90,31.00,33.90,Seinäjoki,Sosiaalinen media,PayPal
T00059,2026-03-29,A0407,P008,LED-pöytävalaisin,Koti,1,44.90,0,44.90,20.00,24.90,Vantaa,Verkkokauppa,Verkkopankki
T00060,2026-06-12,A0420,P011,Joogamatto,Hyvinvointi,1,39.90,0,39.90,16.00,23.90,Tampere,Sosiaalinen media,MobilePay
T00061,2025-07-23,A0244,P003,Älykello,Elektroniikka,1,129.90,0,129.90,72.00,57.90,Seinäjoki,Verkkokauppa,PayPal
T00062,2026-03-01,A0357,P015,Laptop-suojatasku,Asusteet,1,34.90,0,34.90,14.00,20.90,Jyväskylä,Sähköposti,PayPal
T00063,2025-09-07,A0385,P003,Älykello,Elektroniikka,1,129.90,0,129.90,72.00,57.90,Espoo,Sähköposti,MobilePay
T00064,2025-06-30,A0026,P013,Vastuskuminauhasetti,Hyvinvointi,3,24.90,0,74.70,25.50,49.20,Vaasa,Google,Kortti
T00065,2026-04-13,A0287,P003,Älykello,Elektroniikka,2,129.90,5,246.81,144.00,102.81,Seinäjoki,Sosiaalinen media,PayPal
T00066,2026-06-01,A0082,P007,Mekaaninen näppäimistö,Työpiste,2,99.90,0,199.80,104.00,95.80,Kuopio,Sähköposti,Verkkopankki
T00067,2025-09-11,A0267,P014,Reppu 20L,Asusteet,1,64.90,10,58.41,31.00,27.41,Kuopio,Google,Verkkopankki
T00068,2026-03-27,A0172,P002,Bluetooth-kaiutin,Elektroniikka,2,69.90,0,139.80,70.00,69.80,Oulu,Verkkokauppa,MobilePay
T00069,2025-06-04,A0110,P004,USB-C-laturi,Elektroniikka,1,29.90,0,29.90,11.50,18.40,Espoo,Sähköposti,PayPal
T00070,2025-12-05,A0427,P009,Termospullo,Koti,1,32.90,0,32.90,13.50,19.40,Jyväskylä,Sähköposti,Kortti
T00071,2026-01-25,A0386,P008,LED-pöytävalaisin,Koti,1,44.90,0,44.90,20.00,24.90,Jyväskylä,Sähköposti,MobilePay
T00072,2026-05-15,A0200,P004,USB-C-laturi,Elektroniikka,1,29.90,0,29.90,11.50,18.40,Oulu,Sähköposti,MobilePay
T00073,2026-04-24,A0014,P015,Laptop-suojatasku,Asusteet,1,34.90,5,33.15,14.00,19.15,Jyväskylä,Verkkokauppa,Kortti
T00074,2026-03-15,A0134,P003,Älykello,Elektroniikka,2,129.90,0,259.80,144.00,115.80,Jyväskylä,Sosiaalinen media,MobilePay
T00075,2026-04-11,A0143,P006,Langaton hiiri,Työpiste,1,39.90,10,35.91,17.00,18.91,Jyväskylä,Sosiaalinen media,Kortti
T00076,2026-04-27,A0180,P001,Langattomat kuulokkeet,Elektroniikka,2,89.90,0,179.80,94.00,85.80,Tampere,Verkkokauppa,Kortti
T00077,2025-02-01,A0079,P004,USB-C-laturi,Elektroniikka,1,29.90,0,29.90,11.50,18.40,Tampere,Google,PayPal
T00078,2025-04-28,A0132,P010,Kahvimylly,Koti,3,59.90,0,179.70,87.00,92.70,Oulu,Google,Kortti
T00079,2025-06-17,A0160,P005,Kannettavan teline,Työpiste,1,54.90,0,54.90,25.00,29.90,Seinäjoki,Sähköposti,PayPal
T00080,2025-07-23,A0125,P002,Bluetooth-kaiutin,Elektroniikka,1,69.90,10,62.91,35.00,27.91,Espoo,Sosiaalinen media,Kortti
T00081,2025-02-12,A0036,P006,Langaton hiiri,Työpiste,1,39.90,5,37.90,17.00,20.90,Vaasa,Sosiaalinen media,Kortti
T00082,2026-03-07,A0186,P014,Reppu 20L,Asusteet,1,64.90,0,64.90,31.00,33.90,Kuopio,Google,PayPal
T00083,2025-06-30,A0316,P012,Hierontapallo,Hyvinvointi,1,19.90,5,18.90,6.50,12.40,Vaasa,Sähköposti,PayPal
T00084,2026-03-23,A0437,P014,Reppu 20L,Asusteet,2,64.90,0,129.80,62.00,67.80,Tampere,Verkkokauppa,Verkkopankki
T00085,2026-04-07,A0343,P004,USB-C-laturi,Elektroniikka,2,29.90,0,59.80,23.00,36.80,Jyväskylä,Sosiaalinen media,Kortti
T00086,2026-05-22,A0182,P014,Reppu 20L,Asusteet,1,64.90,0,64.90,31.00,33.90,Turku,Sosiaalinen media,Verkkopankki
T00087,2025-10-10,A0044,P009,Termospullo,Koti,1,32.90,15,27.96,13.50,14.46,Tampere,Sähköposti,PayPal
T00088,2026-07-23,A0365,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,0,24.90,8.50,16.40,Kuopio,Sähköposti,Kortti
T00089,2025-04-06,A0157,P005,Kannettavan teline,Työpiste,1,54.90,5,52.15,25.00,27.15,Seinäjoki,Sosiaalinen media,PayPal
T00090,2026-07-21,A0282,P009,Termospullo,Koti,1,32.90,20,26.32,13.50,12.82,Oulu,Sosiaalinen media,PayPal
T00091,2025-10-05,A0099,P005,Kannettavan teline,Työpiste,1,54.90,0,54.90,25.00,29.90,Oulu,Verkkokauppa,MobilePay
T00092,2025-07-16,A0302,P004,USB-C-laturi,Elektroniikka,2,29.90,0,59.80,23.00,36.80,Vaasa,Sosiaalinen media,Kortti
T00093,2025-07-18,A0008,P005,Kannettavan teline,Työpiste,1,54.90,0,54.90,25.00,29.90,Vaasa,Google,Verkkopankki
T00094,2025-02-16,A0065,P001,Langattomat kuulokkeet,Elektroniikka,1,89.90,5,85.41,47.00,38.41,Kuopio,Verkkokauppa,Kortti
T00095,2025-10-19,A0027,P008,LED-pöytävalaisin,Koti,1,44.90,0,44.90,20.00,24.90,Turku,Sähköposti,Kortti
T00096,2025-03-08,A0352,P007,Mekaaninen näppäimistö,Työpiste,1,99.90,0,99.90,52.00,47.90,Helsinki,Google,MobilePay
T00097,2026-07-31,A0286,P005,Kannettavan teline,Työpiste,1,54.90,0,54.90,25.00,29.90,Jyväskylä,Google,PayPal
T00098,2026-04-07,A0220,P015,Laptop-suojatasku,Asusteet,1,34.90,10,31.41,14.00,17.41,Turku,Verkkokauppa,Kortti
T00099,2025-08-01,A0081,P011,Joogamatto,Hyvinvointi,1,39.90,5,37.90,16.00,21.90,Tampere,Google,Kortti
T00100,2025-06-10,A0241,P001,Langattomat kuulokkeet,Elektroniikka,1,89.90,5,85.41,47.00,38.41,Turku,Verkkokauppa,MobilePay
T00101,2025-10-23,A0037,P012,Hierontapallo,Hyvinvointi,1,19.90,10,17.91,6.50,11.41,Tampere,Sosiaalinen media,MobilePay
T00102,2026-03-12,A0137,P002,Bluetooth-kaiutin,Elektroniikka,1,69.90,5,66.41,35.00,31.41,Vantaa,Verkkokauppa,Kortti
T00103,2025-06-19,A0292,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,5,23.65,8.50,15.15,Turku,Sähköposti,Kortti
T00104,2026-04-25,A0140,P012,Hierontapallo,Hyvinvointi,1,19.90,0,19.90,6.50,13.40,Vaasa,Sähköposti,PayPal
T00105,2025-03-24,A0166,P010,Kahvimylly,Koti,1,59.90,0,59.90,29.00,30.90,Seinäjoki,Sosiaalinen media,Kortti
T00106,2025-04-04,A0295,P004,USB-C-laturi,Elektroniikka,3,29.90,10,80.73,34.50,46.23,Seinäjoki,Verkkokauppa,Verkkopankki
T00107,2025-02-11,A0334,P013,Vastuskuminauhasetti,Hyvinvointi,2,24.90,0,49.80,17.00,32.80,Kuopio,Sosiaalinen media,MobilePay
T00108,2026-03-23,A0241,P011,Joogamatto,Hyvinvointi,2,39.90,15,67.83,32.00,35.83,Oulu,Sähköposti,Verkkopankki
T00109,2025-11-25,A0211,P011,Joogamatto,Hyvinvointi,1,39.90,0,39.90,16.00,23.90,Kuopio,Sosiaalinen media,PayPal
T00110,2026-07-18,A0166,P001,Langattomat kuulokkeet,Elektroniikka,1,89.90,0,89.90,47.00,42.90,Espoo,Sähköposti,Kortti
T00111,2026-07-10,A0186,P008,LED-pöytävalaisin,Koti,1,44.90,0,44.90,20.00,24.90,Seinäjoki,Sähköposti,PayPal
T00112,2025-02-22,A0148,P004,USB-C-laturi,Elektroniikka,1,29.90,0,29.90,11.50,18.40,Kuopio,Sähköposti,Kortti
T00113,2025-01-30,A0082,P011,Joogamatto,Hyvinvointi,1,39.90,0,39.90,16.00,23.90,Turku,Verkkokauppa,PayPal
T00114,2025-04-06,A0237,P004,USB-C-laturi,Elektroniikka,4,29.90,15,101.66,46.00,55.66,Espoo,Google,PayPal
T00115,2025-10-26,A0248,P009,Termospullo,Koti,2,32.90,0,65.80,27.00,38.80,Kuopio,Google,PayPal
T00116,2026-07-19,A0261,P003,Älykello,Elektroniikka,1,129.90,15,110.42,72.00,38.42,Vantaa,Verkkokauppa,Verkkopankki
T00117,2026-03-01,A0421,P006,Langaton hiiri,Työpiste,3,39.90,0,119.70,51.00,68.70,Helsinki,Sosiaalinen media,Verkkopankki
T00118,2026-05-17,A0177,P014,Reppu 20L,Asusteet,1,64.90,0,64.90,31.00,33.90,Oulu,Sähköposti,PayPal
T00119,2025-11-26,A0293,P014,Reppu 20L,Asusteet,1,64.90,5,61.66,31.00,30.66,Jyväskylä,Google,PayPal
T00120,2025-02-14,A0416,P006,Langaton hiiri,Työpiste,2,39.90,5,75.81,34.00,41.81,Jyväskylä,Sähköposti,MobilePay
T00121,2026-05-23,A0170,P001,Langattomat kuulokkeet,Elektroniikka,1,89.90,15,76.42,47.00,29.42,Espoo,Sähköposti,Kortti
T00122,2026-06-23,A0210,P015,Laptop-suojatasku,Asusteet,1,34.90,5,33.15,14.00,19.15,Vantaa,Verkkokauppa,PayPal
T00123,2025-09-29,A0042,P006,Langaton hiiri,Työpiste,1,39.90,0,39.90,17.00,22.90,Oulu,Sähköposti,Verkkopankki
T00124,2026-05-15,A0121,P014,Reppu 20L,Asusteet,1,64.90,5,61.66,31.00,30.66,Turku,Google,Kortti
T00125,2026-03-21,A0052,P002,Bluetooth-kaiutin,Elektroniikka,2,69.90,5,132.81,70.00,62.81,Kuopio,Google,Verkkopankki
T00126,2025-01-30,A0184,P001,Langattomat kuulokkeet,Elektroniikka,1,89.90,0,89.90,47.00,42.90,Oulu,Sähköposti,MobilePay
T00127,2025-09-08,A0093,P009,Termospullo,Koti,1,32.90,5,31.25,13.50,17.75,Vantaa,Google,Kortti
T00128,2026-01-27,A0299,P010,Kahvimylly,Koti,2,59.90,0,119.80,58.00,61.80,Vantaa,Google,PayPal
T00129,2025-09-18,A0412,P008,LED-pöytävalaisin,Koti,1,44.90,0,44.90,20.00,24.90,Kuopio,Sosiaalinen media,MobilePay
T00130,2025-03-17,A0154,P008,LED-pöytävalaisin,Koti,3,44.90,20,107.76,60.00,47.76,Jyväskylä,Sosiaalinen media,PayPal
T00131,2025-11-06,A0055,P004,USB-C-laturi,Elektroniikka,4,29.90,10,107.64,46.00,61.64,Tampere,Sähköposti,Verkkopankki
T00132,2025-10-30,A0338,P012,Hierontapallo,Hyvinvointi,1,19.90,20,15.92,6.50,9.42,Jyväskylä,Sosiaalinen media,Kortti
T00133,2025-02-20,A0147,P015,Laptop-suojatasku,Asusteet,1,34.90,0,34.90,14.00,20.90,Tampere,Sosiaalinen media,MobilePay
T00134,2025-07-14,A0393,P010,Kahvimylly,Koti,1,59.90,10,53.91,29.00,24.91,Vantaa,Verkkokauppa,Kortti
T00135,2025-11-13,A0375,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,0,24.90,8.50,16.40,Vantaa,Verkkokauppa,Verkkopankki
T00136,2025-12-01,A0403,P012,Hierontapallo,Hyvinvointi,1,19.90,0,19.90,6.50,13.40,Vaasa,Sosiaalinen media,Verkkopankki
T00137,2025-06-18,A0413,P005,Kannettavan teline,Työpiste,3,54.90,15,139.99,75.00,64.99,Turku,Sosiaalinen media,Kortti
T00138,2026-04-25,A0441,P002,Bluetooth-kaiutin,Elektroniikka,1,69.90,15,59.42,35.00,24.42,Jyväskylä,Sosiaalinen media,Kortti
T00139,2026-02-09,A0189,P001,Langattomat kuulokkeet,Elektroniikka,1,89.90,0,89.90,47.00,42.90,Turku,Sähköposti,Verkkopankki
T00140,2025-04-21,A0288,P011,Joogamatto,Hyvinvointi,1,39.90,0,39.90,16.00,23.90,Oulu,Google,Kortti
T00141,2026-04-21,A0060,P015,Laptop-suojatasku,Asusteet,2,34.90,5,66.31,28.00,38.31,Vantaa,Verkkokauppa,Kortti
T00142,2025-11-08,A0276,P008,LED-pöytävalaisin,Koti,1,44.90,0,44.90,20.00,24.90,Vantaa,Sähköposti,PayPal
T00143,2026-01-15,A0277,P011,Joogamatto,Hyvinvointi,3,39.90,5,113.71,48.00,65.71,Jyväskylä,Google,PayPal
T00144,2025-04-12,A0144,P014,Reppu 20L,Asusteet,1,64.90,0,64.90,31.00,33.90,Helsinki,Sosiaalinen media,MobilePay
T00145,2026-03-31,A0051,P008,LED-pöytävalaisin,Koti,3,44.90,10,121.23,60.00,61.23,Oulu,Sosiaalinen media,Kortti
T00146,2026-02-12,A0435,P005,Kannettavan teline,Työpiste,1,54.90,0,54.90,25.00,29.90,Kuopio,Verkkokauppa,MobilePay
T00147,2025-01-22,A0065,P001,Langattomat kuulokkeet,Elektroniikka,2,89.90,0,179.80,94.00,85.80,Seinäjoki,Google,Kortti
T00148,2026-07-22,A0120,P004,USB-C-laturi,Elektroniikka,1,29.90,10,26.91,11.50,15.41,Oulu,Google,Kortti
T00149,2025-10-11,A0277,P014,Reppu 20L,Asusteet,4,64.90,20,207.68,124.00,83.68,Turku,Google,Kortti
T00150,2025-01-27,A0122,P003,Älykello,Elektroniikka,1,129.90,10,116.91,72.00,44.91,Seinäjoki,Sosiaalinen media,Kortti
T00151,2025-06-28,A0270,P005,Kannettavan teline,Työpiste,1,54.90,5,52.15,25.00,27.15,Espoo,Verkkokauppa,PayPal
T00152,2026-04-05,A0232,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,5,23.65,8.50,15.15,Vaasa,Google,Kortti
T00153,2026-06-18,A0032,P005,Kannettavan teline,Työpiste,1,54.90,15,46.66,25.00,21.66,Kuopio,Sähköposti,PayPal
T00154,2025-04-21,A0042,P008,LED-pöytävalaisin,Koti,2,44.90,0,89.80,40.00,49.80,Oulu,Google,Kortti
T00155,2025-05-10,A0365,P005,Kannettavan teline,Työpiste,1,54.90,5,52.15,25.00,27.15,Oulu,Sähköposti,Verkkopankki
T00156,2026-04-10,A0360,P009,Termospullo,Koti,1,32.90,0,32.90,13.50,19.40,Espoo,Google,PayPal
T00157,2026-04-08,A0233,P015,Laptop-suojatasku,Asusteet,1,34.90,0,34.90,14.00,20.90,Jyväskylä,Sähköposti,Kortti
T00158,2025-11-17,A0079,P007,Mekaaninen näppäimistö,Työpiste,1,99.90,0,99.90,52.00,47.90,Kuopio,Verkkokauppa,Kortti
T00159,2025-03-29,A0191,P002,Bluetooth-kaiutin,Elektroniikka,1,69.90,5,66.41,35.00,31.41,Vantaa,Verkkokauppa,Verkkopankki
T00160,2025-05-06,A0385,P007,Mekaaninen näppäimistö,Työpiste,1,99.90,5,94.91,52.00,42.91,Jyväskylä,Verkkokauppa,Verkkopankki
T00161,2025-11-16,A0080,P006,Langaton hiiri,Työpiste,1,39.90,0,39.90,17.00,22.90,Kuopio,Google,Kortti
T00162,2025-12-25,A0143,P014,Reppu 20L,Asusteet,1,64.90,0,64.90,31.00,33.90,Seinäjoki,Google,PayPal
T00163,2026-07-29,A0330,P013,Vastuskuminauhasetti,Hyvinvointi,2,24.90,5,47.31,17.00,30.31,Vaasa,Verkkokauppa,Verkkopankki
T00164,2025-01-30,A0174,P003,Älykello,Elektroniikka,1,129.90,10,116.91,72.00,44.91,Oulu,Verkkokauppa,MobilePay
T00165,2025-05-27,A0380,P010,Kahvimylly,Koti,1,59.90,0,59.90,29.00,30.90,Helsinki,Verkkokauppa,MobilePay
T00166,2026-01-21,A0160,P007,Mekaaninen näppäimistö,Työpiste,1,99.90,0,99.90,52.00,47.90,Oulu,Verkkokauppa,Kortti
T00167,2025-06-09,A0042,P003,Älykello,Elektroniikka,2,129.90,0,259.80,144.00,115.80,Turku,Sähköposti,PayPal
T00168,2026-05-13,A0387,P010,Kahvimylly,Koti,1,59.90,0,59.90,29.00,30.90,Vaasa,Verkkokauppa,Verkkopankki
T00169,2026-03-17,A0250,P002,Bluetooth-kaiutin,Elektroniikka,1,69.90,5,66.41,35.00,31.41,Vaasa,Sosiaalinen media,Kortti
T00170,2025-08-14,A0105,P007,Mekaaninen näppäimistö,Työpiste,4,99.90,0,399.60,208.00,191.60,Turku,Google,MobilePay
T00171,2025-09-19,A0383,P005,Kannettavan teline,Työpiste,1,54.90,0,54.90,25.00,29.90,Jyväskylä,Google,MobilePay
T00172,2026-01-25,A0427,P009,Termospullo,Koti,2,32.90,0,65.80,27.00,38.80,Oulu,Verkkokauppa,PayPal
T00173,2025-02-13,A0442,P007,Mekaaninen näppäimistö,Työpiste,1,99.90,15,84.92,52.00,32.92,Oulu,Sähköposti,PayPal
T00174,2026-03-04,A0167,P005,Kannettavan teline,Työpiste,1,54.90,0,54.90,25.00,29.90,Vantaa,Sähköposti,Verkkopankki
T00175,2025-04-01,A0302,P007,Mekaaninen näppäimistö,Työpiste,2,99.90,0,199.80,104.00,95.80,Jyväskylä,Verkkokauppa,PayPal
T00176,2025-11-14,A0087,P012,Hierontapallo,Hyvinvointi,1,19.90,0,19.90,6.50,13.40,Espoo,Verkkokauppa,MobilePay
T00177,2025-12-24,A0418,P006,Langaton hiiri,Työpiste,2,39.90,10,71.82,34.00,37.82,Vantaa,Google,Kortti
T00178,2025-05-30,A0390,P005,Kannettavan teline,Työpiste,1,54.90,5,52.15,25.00,27.15,Espoo,Google,PayPal
T00179,2026-04-21,A0349,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,0,24.90,8.50,16.40,Seinäjoki,Sosiaalinen media,Verkkopankki
T00180,2025-06-04,A0156,P008,LED-pöytävalaisin,Koti,1,44.90,0,44.90,20.00,24.90,Turku,Verkkokauppa,Verkkopankki
T00181,2026-06-04,A0030,P002,Bluetooth-kaiutin,Elektroniikka,1,69.90,0,69.90,35.00,34.90,Oulu,Sosiaalinen media,Kortti
T00182,2025-04-03,A0298,P010,Kahvimylly,Koti,1,59.90,0,59.90,29.00,30.90,Vaasa,Verkkokauppa,PayPal
T00183,2025-07-12,A0032,P006,Langaton hiiri,Työpiste,1,39.90,0,39.90,17.00,22.90,Kuopio,Verkkokauppa,Verkkopankki
T00184,2025-03-28,A0363,P009,Termospullo,Koti,1,32.90,0,32.90,13.50,19.40,Kuopio,Sähköposti,MobilePay
T00185,2026-01-08,A0397,P006,Langaton hiiri,Työpiste,3,39.90,0,119.70,51.00,68.70,Oulu,Verkkokauppa,Verkkopankki
T00186,2025-03-09,A0146,P006,Langaton hiiri,Työpiste,1,39.90,5,37.90,17.00,20.90,Turku,Google,Verkkopankki
T00187,2025-03-25,A0159,P010,Kahvimylly,Koti,1,59.90,15,50.91,29.00,21.91,Jyväskylä,Google,Kortti
T00188,2025-11-14,A0417,P009,Termospullo,Koti,1,32.90,10,29.61,13.50,16.11,Vantaa,Verkkokauppa,PayPal
